solver,n_features,n_solutions,cost,time,pct_above_optimal
marxan,1,7,224900965.210205,432.355,0.16356069896232062
gurobi,1,1,193286835.32434082,3.7320000000000277,0
rsymphony,1,1,193286286.84295654,116.74600000000004,-2.837655153076213e-6
marxan,5,7,589781940.139221,761.794,0.17548519057944723
gurobi,5,1,501734896.2503662,11.438000000000102,0
rsymphony,5,1,501731617.85046387,358.372,-6.534127737212181e-6
marxan,10,9,1620518741.581604,1280.7780000000002,0.1643821350034762
gurobi,10,1,1391741330.3294678,23.243999999999915,0
rsymphony,10,1,1391728916.6468506,475.351,-8.91953292370129e-6
marxan,15,8,1798709040.167969,1797.8580000000002,0.15516704123717795
gurobi,15,1,1557098649.768921,30.57399999999984,0
rsymphony,15,1,1557067372.7127686,874.7119999999998,-2.0086753114156863e-5
marxan,20,10,2311191419.730774,2155.668,0.16144900303128096
gurobi,20,1,1989920705.6864014,32.25700000000006,0
rsymphony,20,1,1989851294.2821045,596.4659999999999,-3.488149256325457e-5
marxan,25,9,2311628854.622742,2600.7950000000005,0.161658895792834
gurobi,25,1,1989937720.095581,51.945000000000164,0
rsymphony,25,1,1989851500.80896,1335.9189999999999,-4.3327630684264484e-5
marxan,30,9,2325617581.833069,3055.6659999999997,0.1613161521658497
gurobi,30,1,2002570598.4505615,52.94000000000051,0
rsymphony,30,1,2002550712.4417725,674.7380000000003,-9.930241063438316e-6
marxan,35,8,2322282219.210449,3465.401,0.15818081880269874
gurobi,35,1,2005111966.550415,57.047999999999774,0
rsymphony,35,1,2005037598.0074463,1293.1939999999995,-3.7089471415785447e-5
marxan,40,8,2352532252.446472,3942.9590000000007,0.16130556517048
gurobi,40,1,2025846929.267212,47.48499999999967,4.0407817988530326e-5
rsymphony,40,1,2025712145.4625244,883.348,-2.6126947822113777e-5
marxan,45,10,2369705302.563843,3511.657,0.16600419872606387
gurobi,45,1,2032329990.8807373,51.404999999998836,0
rsymphony,45,1,2032365108.5726318,935.2800000000007,1.7279522544155768e-5
