solver,agg_factor,n_units,time,n_solutions,cost,pct_above_optimal
gurobi,1,238099,6.789999999999999,1,532640494.25134796,0
rsymphony,1,238099,182.485,1,532639766.57008016,-1.36617714130427e-6
marxan,1,238099,467.005,9,632594257.749604,0.18765708686634097
gurobi,2,63473,1.7319999999999993,1,551481463.0223528,0
rsymphony,2,63473,11.120999999999995,1,551481463.0223614,1.554312234475219e-14
marxan,2,63473,276.46700000000004,9,607519583.829101,0.10161378861156178
gurobi,4,17566,0.3970000000000482,1,518780409.1939285,1.1361542667454039e-4
rsymphony,4,17566,1.9769999999999968,1,518717922.4590511,-6.847553860156452e-6
marxan,4,17566,145.382,10,546240304.268254,0.05305126391014814
gurobi,8,5143,0.2300000000000182,1,427580552.66358227,6.378944445151191e-5
rsymphony,8,5143,0.33299999999997,1,427588476.38807994,8.232216278569737e-5
marxan,8,5143,119.666,9,442948593.986747,0.036007944402489
gurobi,16,1610,0.22100000000000364,1,312581798.96178716,5.570406553307983e-4
rsymphony,16,1610,0.19600000000002638,1,312479309.72037274,2.2897826516854458e-4
marxan,16,1610,92.91399999999999,9,319779785.856261,0.023597398378433665
