run_id,solver,target,n_features,n_pu,n_solutions,cost,time,marxan_iterations
1,gurobi,0.25,30,238,1,1153910,0.15800000000000125,NA
2,gurobi,0.75,30,238,1,31080992,0.11299999999999955,NA
3,gurobi,0.25,72,238,1,1348817,0.14499999999999602,NA
4,gurobi,0.75,72,238,1,40332312,0.14700000000001978,NA
5,gurobi,0.25,30,2376,1,11447387,0.28300000000001546,NA
6,gurobi,0.75,30,2376,1,300348449,0.3509999999999991,NA
7,gurobi,0.25,72,2376,1,12252875,0.5010000000000332,NA
8,gurobi,0.75,72,2376,1,357167350,0.6000000000000227,NA
1,rsymphony,0.25,30,238,1,1146143,0.2120000000000033,NA
2,rsymphony,0.75,30,238,1,31080992,0.125,NA
3,rsymphony,0.25,72,238,1,1340424,0.16100000000000136,NA
4,rsymphony,0.75,72,238,1,39621306,0.26400000000001,NA
5,rsymphony,0.25,30,2376,1,11432917,0.33799999999996544,NA
6,rsymphony,0.75,30,2376,1,300350028,0.30100000000004457,NA
7,rsymphony,0.25,72,2376,1,12248478,0.3480000000000132,NA
8,rsymphony,0.75,72,2376,1,357158908,0.84699999999998,NA
1,marxan,0.25,30,238,0,NA,4.841000000000001,100000
1,marxan,0.25,30,238,0,NA,41.843999999999994,1000000
2,marxan,0.75,30,238,0,NA,4.774000000000001,100000
2,marxan,0.75,30,238,NA,NA,NA,1000000
3,marxan,0.25,72,238,0,NA,9.668999999999997,100000
3,marxan,0.25,72,238,0,NA,89.701,1000000
4,marxan,0.75,72,238,0,NA,9.771999999999991,100000
4,marxan,0.75,72,238,0,NA,91.583,1000000
5,marxan,0.25,30,2376,0,NA,5.189999999999998,100000
5,marxan,0.25,30,2376,0,NA,43.06700000000001,1000000
6,marxan,0.75,30,2376,0,NA,5.268999999999949,100000
6,marxan,0.75,30,2376,0,NA,42.68299999999999,1000000
7,marxan,0.25,72,2376,NA,NA,NA,100000
7,marxan,0.25,72,2376,NA,NA,NA,1000000
8,marxan,0.75,72,2376,0,NA,10.698000000000036,100000
8,marxan,0.75,72,2376,0,NA,95.22800000000007,1000000
